flow_id,packet_count,total_bytes,avg_packet_size,avg_packet_rate,avg_inter_packet_time,endpoint_a,endpoint_b,_ws.col.Protocol,protocol_type,srcport,dstport,direction_packet_count_a_to_b,direction_packet_count_b_to_a,direction_total_bytes_a_to_b,direction_total_bytes_b_to_a
"0.0.0.0,10.10.10.1:67.0-10.10.10.1,10.10.10.6:68.0|UDP",20,7580,379.0,1.5837689006786354e-06,631405.2508364737,"0.0.0.0,10.10.10.1:67.0","10.10.10.1,10.10.10.6:68.0",ICMP,UDP,67.0,68.0,20.0,0.0,7580.0,0.0
0.0.0.0:32946.0-192.168.20.3:53.0|UDP,1,89,89.0,0.0,,0.0.0.0:32946.0,192.168.20.3:53.0,DNS,UDP,32946.0,53.0,1.0,0.0,89.0,0.0
0.0.0.0:37644.0-192.168.20.3:53.0|UDP,1,89,89.0,0.0,,0.0.0.0:37644.0,192.168.20.3:53.0,DNS,UDP,37644.0,53.0,1.0,0.0,89.0,0.0
0.0.0.0:46580.0-192.168.20.3:53.0|UDP,1,89,89.0,0.0,,0.0.0.0:46580.0,192.168.20.3:53.0,DNS,UDP,46580.0,53.0,1.0,0.0,89.0,0.0
0.0.0.0:46608.0-192.168.20.3:53.0|UDP,1,89,89.0,0.0,,0.0.0.0:46608.0,192.168.20.3:53.0,DNS,UDP,46608.0,53.0,1.0,0.0,89.0,0.0
0.0.0.0:50897.0-192.168.20.3:53.0|UDP,1,89,89.0,0.0,,0.0.0.0:50897.0,192.168.20.3:53.0,DNS,UDP,50897.0,53.0,1.0,0.0,89.0,0.0
0.0.0.0:53193.0-192.168.20.3:53.0|UDP,1,89,89.0,0.0,,0.0.0.0:53193.0,192.168.20.3:53.0,DNS,UDP,53193.0,53.0,1.0,0.0,89.0,0.0
0.0.0.0:53847.0-192.168.20.3:53.0|UDP,1,89,89.0,0.0,,0.0.0.0:53847.0,192.168.20.3:53.0,DNS,UDP,53847.0,53.0,1.0,0.0,89.0,0.0
0.0.0.0:54523.0-192.168.20.3:53.0|UDP,1,89,89.0,0.0,,0.0.0.0:54523.0,192.168.20.3:53.0,DNS,UDP,54523.0,53.0,1.0,0.0,89.0,0.0
0.0.0.0:67.0-10.10.10.21:68.0|UDP,12,4104,342.0,9.220503399706378e-06,108453.94840718182,0.0.0.0:67.0,10.10.10.21:68.0,DHCP,UDP,68.0,67.0,0.0,12.0,0.0,4104.0
0.0.0.0:68.0-255.255.255.255:67.0|UDP,1266,565036,446.31595576619276,9.70116088891631e-05,10308.044691254547,0.0.0.0:68.0,255.255.255.255:67.0,DHCP,UDP,68.0,67.0,1266.0,0.0,565036.0,0.0
"10.10.10.1,10.10.10.149:123.0-10.10.10.149,10.10.100.254:123.0|UDP",78,9204,118.0,5.191345725778795e-05,19262.828037714287,"10.10.10.1,10.10.10.149:123.0","10.10.10.149,10.10.100.254:123.0",ICMP,UDP,123.0,123.0,78.0,0.0,9204.0,0.0
"10.10.10.1,10.10.10.252:3074.0-10.10.10.252,10.22.22.138:1900.0|UDP",7,3371,481.57142857142856,4.954546545300156e-07,2018348.1795091666,"10.10.10.1,10.10.10.252:3074.0","10.10.10.252,10.22.22.138:1900.0",ICMP,UDP,3074.0,1900.0,7.0,0.0,3371.0,0.0
"10.10.10.1,10.10.10.252:3424.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:3424.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,3424.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:3425.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:3425.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,3425.0,8059.0,1.0,0.0,94.0,0.0
